Otu,Size,ID,Organism_Class,Organism_Order,Trophic function,Trophic status,Lifestyle,Growth form,#Accession,%identite,Longueur,BitScore,Gateway Hill-M6-1-Min10,Gateway Hill-M6-2-Min10,Gateway Hill-M6-3-Min10,Gateway Hill-M7-1-Min10,Gateway Hill-Sw-1-Org,Gateway Hill-Sw-1-Roots,Gateway Hill-Sw-1-Min10,Gateway Hill-Sw-1-Min35,Gateway Hill-Sw-2-Org,Gateway Hill-Sw-2-Roots,Gateway Hill-Sw-2-Min10,Gateway Hill-Sw-2-Min35,Gateway Hill-M2-1-Min10,Gateway Hill-M2-2-Min10,Gateway Hill-M2-3-Min10,Gateway Hill-M7-2-Min10,Gateway Hill-M7-3-Min10,Gateway Hill-M8-1-Min10,Gateway Hill-M8-2-Min10,Gateway Hill-M8-3-Min10,Gateway Hill-M14-1-Min10,Gateway Hill-M14-2-Min10,Gateway Hill-M14-3-Min10,Fort Chipewayn-TR1B-1-Min10,Fort Chipewayn-TR1B-2-Min10,Fort Chipewayn-TR1B-3-Min10,Fort Chipewayn-TR1P-1-Min10,Fort Chipewayn-TR1P-2-Min10,Fort Chipewayn-TR1P-3-Min10
OTU_434,179,Petrophila incerta CBS 118608 ITS region,,,,,,,NR_144956.1,96.7,240,0,2,0,5,0,95,24,13,16,7,0,0,0,0,0,0,2,1,0,0,0,4,10,0,0,0,0,0,0,0
OTU_435,179,Oliveonia pauxilla voucher KC1068 18S ri,Agaricomycetes,Auriculariales,Saprotroph,Saprotroph,Saprotroph,,HQ441577.1,85.9,298,0,0,0,0,53,0,0,0,0,0,0,0,0,2,98,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0
OTU_436,177,Aphanophora eugeniae isolate J4 18S ribo,,,,,,,KM052908.1,85.9,312,0,2,24,14,2,4,1,24,0,0,0,0,0,0,0,0,82,0,5,0,0,1,10,0,0,0,0,0,0,8
OTU_437,177,Capronia pulcherrima DAOM 216384 ITS reg,Eurotiomycetes,Chaetothyriales,Saprotroph/Facultative yeast,Saprotroph,Facultative yeast,Facultative yeast,NR_121266.1,99.3,288,0,2,0,7,0,4,1,0,0,2,0,0,0,0,0,0,26,0,0,0,0,98,31,6,0,0,0,0,0,0
OTU_438,177,Chlamydocillium cyanophilum isolate CBS5,,,,,,,KU382146.1,99.5,217,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU_439,177,Cladophialophora sp. L3-3-NN-2016 genes ,Eurotiomycetes,Chaetothyriales,Saprotroph/Facultative yeast,Saprotroph,Facultative yeast,Facultative yeast,LC189029.1,98.2,326,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,16,3,5,64,44
OTU_440,177,Peyronellaea sp. RJ-2015 isolate 64Jb14 ,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,KU516555.1,99.6,268,0,4,9,20,6,0,0,0,0,3,0,0,0,0,0,0,9,0,123,1,1,1,0,0,0,0,0,0,0,0
OTU_441,176,Parathyridaria ramulicola CBS 141479 ITS,,,,,,,NR_147657.1,85.9,311,0,0,0,0,153,1,2,0,0,1,0,0,0,0,1,0,8,7,0,0,0,1,0,2,0,0,0,0,0,0
OTU_442,175,Leucosporidium fasciculatum strain CBS 8,Microbotryomycetes,Leucosporidiales,Saprotroph/Yeast,Saprotroph,Yeast,Yeast,KJ778628.1,100,235,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,150,14,9,0,0,0,0,0,0,0,0,0
OTU_443,175,"Harmoniella sp. MT-2014 genes for ITS1, ",Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,AB911103.1,98.5,263,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_444,174,Amphinema byssoides UC2022834 18S riboso,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814528.1,94.7,300,0,124,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_445,173,OTU_445,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,148,3,0,0,0,0,0,0,0,0,0,0
OTU_446,172,OTU_446,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,1,0,0,0,1,0,0,0,0,0,0,0
OTU_447,169,Rhizopogon luteolus 18S ribosomal RNA ge,Agaricomycetes,Boletales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KC984860.1,99.2,370,0,0,0,0,0,22,2,67,65,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_448,169,Geastrum fuscogleba strain NY Trappe 950,Agaricomycetes,Geastrales,Saprotroph,Saprotroph,Saprotroph,,KF988377.1,100,266,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,51,2,78,0,0,2,0,0,0,14,4,2,5,6
OTU_449,168,Ganoderma applanatum strain AMB04 small ,Agaricomycetes,Polyporales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,MF686522.1,100,310,0,6,4,9,16,1,0,2,0,5,0,3,2,7,5,0,36,8,50,2,1,3,3,1,0,2,1,0,0,1
OTU_450,168,OTU_450,,,,,,,,,,,0,12,0,52,0,0,0,0,0,0,0,0,3,2,1,1,9,1,87,0,0,0,0,0,0,0,0,0,0
OTU_451,167,Scleroconidioma sp. NWHC 44736-64-04-01 ,Dothideomycetes,Incertae sedis,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KX148682.1,94.6,315,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_452,167,Microscypha sp. S-28 18S ribosomal RNA g,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KJ735022.1,97.6,291,0,115,0,12,2,0,3,0,0,0,1,0,0,0,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0
OTU_453,166,Hirsutella strigosa voucher ARSEF 2044 1,Sordariomycetes,Hypocreales,Biotroph/Animal parasite,Biotroph,Animal parasite,,KM652174.1,92.1,315,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0
OTU_454,166,Ceratobasidium sp. 3 RJ-2015 isolate 346,Agaricomycetes,Cantharellales,Saprotroph/Brown rot,Saprotroph,Brown rot,Brown rot,KU516417.1,94.8,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,140,0,0,0,0,11,0,0,0,0,0,0,0,0
OTU_455,166,"Wilcoxina rehmii 18S ribosomal RNA, part",Pezizomycetes,Pezizales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,U38634.1,99.5,218,0,0,0,0,0,5,1,26,57,2,6,4,3,3,2,0,5,0,37,0,0,0,14,0,0,0,0,1,0,0
OTU_456,165,Penicillium tularense strain AS3.14006 1,Eurotiomycetes,Eurotiales,Saprotroph,Saprotroph,Saprotroph,,KC427195.1,98.6,289,0,0,0,36,0,2,0,1,0,0,0,0,0,2,3,1,76,1,43,0,0,0,0,0,0,0,0,0,0,0
OTU_457,164,Mycena pura voucher FF-35 internal trans,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,KF007948.1,100,353,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,46,0,84,0,1,0,1,0,2,9,2,4,3,4
OTU_458,163,Lecythophora sp. I179 18S ribosomal RNA ,Sordariomycetes,Coniochaetales,Saprotroph/Brown rot,Saprotroph,Brown rot,Brown rot,GU062252.1,99.7,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,7,0,0,0,0,0,0,2,0,1,0,1
OTU_459,163,Claussenomyces sp. PDD 55517 18S ribosom,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KM677201.1,91.1,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,20,0,5,55
OTU_460,163,Fusarium solani isolate DBOF83 18S ribos,Sordariomycetes,Hypocreales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,JQ724444.1,81.9,282,0,0,0,0,0,0,0,0,0,147,10,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU_461,162,Hendersonia pinicola strain EBJul30-4 18,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,KT000192.1,91.8,305,0,126,9,14,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0
OTU_462,162,Ceratobasidiaceae sp. strain P2291 inter,,,,,,,KT269527.1,100,286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0
OTU_463,162,Tomentella fuscocinerea voucher TL6662 1,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,GU214812.1,96.4,331,0,0,0,0,0,0,5,61,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_464,161,Pseudeurotium sp. W1_10_-2 internal tran,Leotiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,KP411592.1,100,260,0,3,0,3,0,1,0,0,2,0,2,12,4,2,41,0,1,0,3,0,0,0,84,3,0,0,0,0,0,0
OTU_465,161,Sporormiaceae sp. isolate L32 small subu,,,,,,,KX611024.1,99.3,272,0,2,2,118,0,0,0,0,0,0,0,0,0,8,0,0,13,2,4,0,0,7,3,2,0,0,0,0,0,0
OTU_466,160,Tomentella lilacinogrisea clone PP_D1_1_,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JX630533.1,100,329,0,128,0,2,8,0,0,0,0,0,0,0,0,11,0,0,3,2,4,0,0,1,1,0,0,0,0,0,0,0
OTU_467,160,Devriesia pseudoamericana CPC:16174 18S ,Dothideomycetes,Capnodiales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,GU570527.1,96.1,284,0,30,47,45,2,0,0,1,0,3,0,0,0,0,2,0,7,0,3,0,0,5,9,0,3,0,0,0,3,0
OTU_468,160,Ericoid mycorrhizal sp. Sm5 internal tra,,,Symbiotroph/Ericoid,Symbiotroph,Ericoid,,AY046400.1,97.1,244,0,1,81,2,6,0,0,0,2,3,1,2,1,0,38,3,2,0,0,5,1,0,7,2,1,2,0,0,0,0
OTU_469,159,Cadophora luteo-olivacea isolate PhiK3II,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,FJ486274.1,97.2,354,0,27,1,3,96,0,0,0,0,0,0,0,0,0,0,0,12,1,18,0,1,0,0,0,0,0,0,0,0,0
OTU_470,159,"Geomyces sp. 11MA03 18S ribosomal RNA, p",Leotiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,JX270438.1,97.4,302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,143,8,0,2,0,0,3,1,0,0,0,0,0,0
OTU_471,158,Cystobasidium pinicola isolate Y67 inter,Cystobasidiomycetes,Cystobasidiales,Biotroph/Mycoparasite/yeast,Biotroph,Mycoparasite,Yeast,KX444663.1,100,237,0,7,4,11,4,9,8,3,0,6,1,0,0,1,3,1,82,1,4,1,0,3,6,1,0,1,0,0,0,1
OTU_472,158,OTU_472,,,,,,,,,,,0,1,0,140,0,0,0,0,0,0,1,2,0,0,0,0,12,0,1,0,0,0,1,0,0,0,0,0,0
OTU_473,157,OTU_473,,,,,,,,,,,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,150,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU_474,155,Cadophora luteo-olivacea isolate PhiK3II,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,FJ486274.1,97.2,352,0,9,1,1,22,0,0,0,0,0,0,0,0,0,0,0,41,9,70,1,1,0,0,0,0,0,0,0,0,0
OTU_475,154,"Sarea sp. BC16 18S ribosomal RNA gene, p",Lecanoromycetes,Agyriales,Symbiotroph/Lichenized,Symbiotroph,Lichenized,,DQ317349.1,100,265,0,1,0,7,9,0,2,0,5,0,0,0,0,1,0,0,38,2,83,3,0,3,0,0,0,0,0,0,0,0
OTU_476,154,Pulvinula constellatio 18S ribosomal RNA,Pezizomycetes,Pezizales,Saprotroph,Saprotroph,Saprotroph,,AF289074.1,88.3,300,0,83,6,4,26,0,0,0,0,0,0,0,0,0,0,0,3,21,0,0,5,0,4,2,0,0,0,0,0,0
OTU_477,153,Gaeumannomyces tritici strain CPC 26282 ,Sordariomycetes,Incertae sedis,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KX306541.1,99.3,273,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,5,107,0,0,0,0,0,0,0,0,0,0,0
OTU_478,153,Hydropus scabripes PBM 2513 isolate AFTO,Agaricomycetes,Agaricales,Saprotroph,Saprotroph,Saprotroph,,DQ404389.1,100,329,0,0,0,0,0,0,0,0,0,136,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_479,152,Amphinema byssoides UC2023216 18S riboso,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP814509.1,97,301,0,0,0,0,0,0,0,3,5,10,69,35,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU_480,151,Myrothecium roridum strain IFB-E091 18S ,Sordariomycetes,Hypocreales,Saprotroph,Saprotroph,Saprotroph,,GU074399.1,82.7,295,0,1,2,0,139,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0
OTU_481,151,Umbelopsis angularis CBS 603.68 ITS regi,Incertae sedis,Mucorales,Saprotroph,Saprotroph,Saprotroph,,NR_137072.1,100,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,112,11,0,12,8
OTU_482,151,OTU_482,,,,,,,,,,,0,0,1,9,0,0,0,1,0,0,0,0,0,1,1,131,2,2,1,0,1,0,1,0,0,0,0,0,0
OTU_483,151,OTU_483,,,,,,,,,,,15,0,6,2,0,0,0,0,0,0,0,0,1,30,0,75,0,0,0,0,18,4,0,0,0,0,0,0,0
OTU_484,150,Pseudodictyosporium wauense NBRC 30078 1,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,DQ018098.1,100,293,0,2,2,29,1,0,0,0,0,4,2,0,0,3,11,3,93,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_485,150,Penicillium arenicola isolate NRRL 2553 ,Eurotiomycetes,Eurotiales,Saprotroph,Saprotroph,Saprotroph,,GU092963.1,100,277,0,0,0,0,0,4,0,0,0,0,0,0,0,21,75,0,3,0,3,0,0,0,0,0,2,18,17,3,0,4
OTU_486,149,Inocybe purpureobadia isolate K217 inter,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JN580876.1,90.8,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0
OTU_487,149,Knufia peltigerae culture-collection CGM,Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,KP174863.1,95.5,289,0,76,1,16,1,5,1,1,1,0,0,1,0,0,1,0,13,1,4,0,0,15,9,3,0,0,0,0,0,0
OTU_488,148,Roseodiscus subcarneus isolate D. Haelew,Leotiomycetes,Helotiales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KT972714.1,91.6,287,0,8,0,0,1,0,1,25,39,0,0,2,3,2,39,3,11,0,0,0,0,0,5,9,0,0,0,0,0,0
OTU_489,148,Polydesmia pruinosa voucher TNS-F12764 1,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,JN033453.1,98,295,0,2,0,0,31,0,0,0,0,68,0,1,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_490,148,OTU_490,,,,,,,,,,,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_491,148,Piloderma lanatum isolate FFP1030 18S ri,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JQ711918.1,98.8,322,0,0,0,0,0,0,0,0,0,1,57,67,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_492,148,Piloderma sphaerosporum isolate FFP835 1,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JQ711958.1,97.2,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
OTU_493,147,Lyophyllum aemiliae AB04-10-467 isolate ,Agaricomycetes,Agaricales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KP192582.1,100,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,18,4,0,0,0
OTU_494,146,OTU_494,,,,,,,,,,,0,3,19,56,0,0,0,0,0,0,0,0,0,3,0,27,10,23,4,0,0,1,0,0,0,0,0,0,0
OTU_495,146,Ochrocladosporium elatum strain CBS 146.,Dothideomycetes,Pleosporales,Saprotroph,Saprotroph,Saprotroph,,EU040233.1,83.9,298,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_496,146,Lecanoromycetidae sp. RB-2011 voucher LF,,,,,,,JQ272389.1,89.6,289,0,0,0,0,0,0,0,7,12,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,6,86,13,0,17,2
OTU_497,145,Neodevriesiaceae sp. CCFEE 5569 internal,,,,,,,KF309974.1,95.1,244,0,0,0,0,0,70,9,53,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU_498,144,Podospora glutinans strain V2FR12b inter,Sordariomycetes,Sordariales,Saprotroph,Saprotroph,Saprotroph,,KT692580.1,97.6,245,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,130,0,0,0,0,0,0,0,0,0,0,0
OTU_499,144,Coniochaeta navarrae strain LTA3 18S rib,Sordariomycetes,Coniochaetales,Saprotroph,Saprotroph,Saprotroph,,KU762326.1,83.1,302,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,49,14,56
OTU_500,144,Tomentella sp. OTU199 18S ribosomal RNA ,Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,HQ215824.1,97.3,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,143,0,0,0,0,0,0,0
OTU_501,143,OTU_501,,,,,,,,,,,0,0,1,0,0,0,0,1,16,1,5,1,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_502,143,Articulospora tetracladia strain CCM F-1,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KP234360.1,97.2,289,0,21,1,107,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_503,143,Scolecobasidium fusiforme strain CBS 586,Dothideomycetes,Venturiales,Saprotroph,Saprotroph,Saprotroph,,KF156012.1,97.2,251,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,136,2,2,0,0,0,0,0,0,0,0,0
OTU_504,142,OTU_504,,,,,,,,,,,0,0,2,65,0,0,0,0,0,0,1,1,0,0,0,24,15,34,0,0,0,0,0,0,0,0,0,0,0
OTU_505,142,OTU_505,,,,,,,,,,,0,0,39,0,0,0,1,0,3,0,0,0,83,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0
OTU_506,142,Articulospora proliferata strain CCM F-1,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,KP234351.1,95.7,301,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,47,3,79,0,0,0,0,0,0,0,0,0,0,0
OTU_507,141,Pseudeurotium hygrophilum strain VKM F-4,Leotiomycetes,Incertae sedis,Saprotroph,Saprotroph,Saprotroph,,MF375774.1,100,291,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,131,0,7,0,0,0,0,0,0,0,0,0,0,0
OTU_508,141,Epacris microphylla root associated fung,,,,,,,AY268217.1,97.7,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,35,13,5,15,68
OTU_509,140,Russula sp. 087P_UP5_3276F18 18S ribosom,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,GU981745.1,98.5,331,0,0,0,0,0,0,0,0,0,0,3,36,26,1,0,0,18,0,34,0,0,1,0,0,0,9,3,3,1,5
OTU_510,136,Arxiella dolichandrae ITS region; from T,Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,NR_137930.1,88.3,299,0,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110,0,0,3,0,0,0,0,0,0,0,0
OTU_511,135,Microcera sp. culture ICMP:20125 small s,Sordariomycetes,Hypocreales,Unknown Function,Unknown Function,Unknown Function,,MF683446.1,89.3,289,0,0,0,6,19,0,0,3,4,0,1,2,1,0,1,1,89,2,5,0,0,0,0,0,0,0,1,0,0,0
OTU_512,134,"Tomentella cinerascens ITS1, 5.8S riboso",Agaricomycetes,Thelephorales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,U83483.1,95.4,329,0,0,0,0,0,0,0,0,0,71,31,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_513,133,OTU_513,,,,,,,,,,,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,2,0,118,3,0,1,1,0,0,0,0,0,0,0
OTU_514,133,Verticillium leptobactrum genes for 18S ,Sordariomycetes,Hypocreales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,AB214657.1,100,267,0,0,0,12,0,0,0,0,0,2,5,2,5,3,0,0,30,0,59,4,0,4,5,1,0,1,0,0,0,0
OTU_515,133,Russula cessans r-00031DB 18S ribosomal ,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,JF834326.1,99.3,283,0,0,0,0,0,3,0,0,0,0,1,2,0,0,2,0,1,0,4,0,0,0,120,0,0,0,0,0,0,0
OTU_516,132,Dactylella tenuifusaria strain CBS617.95,Orbiliomycetes,Orbiliales,Saprotroph,Saprotroph,Saprotroph,,DQ494371.1,85,319,0,1,1,127,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_517,132,OTU_517,,,,,,,,,,,0,0,0,0,0,2,40,84,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_518,130,Tetracladium furcatum strain CCM F-11883,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,EU883432.1,90.7,291,0,11,3,3,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,4,1,0,0,1,0,0,0,0,0,0
OTU_519,130,Russula sp. HMAS251829 internal transcri,Agaricomycetes,Russulales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KF225492.1,97.3,256,0,0,0,0,0,0,0,16,32,0,3,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_520,129,OTU_520,,,,,,,,,,,0,3,9,13,0,0,2,0,0,0,0,0,0,1,1,88,3,9,0,0,0,0,0,0,0,0,0,0,0
OTU_521,128,Oidiodendron sp. JCM 28113 genes for 18S,Leotiomycetes,Incertae sedis,Symbiotroph/Ericoid,Symbiotroph,Ericoid,,LC133802.1,88.6,298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,125,0,0,0,0,0,0,0,0,0,0,0
OTU_522,128,OTU_522,,,,,,,,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,10,0,0,0,0,0,0,0,0,0
OTU_523,128,Xenochalara sp. sd1cN3c 18S ribosomal RN,Leotiomycetes,Helotiales,Saprotroph,Saprotroph,Saprotroph,,AY465471.1,97.2,249,0,6,0,0,0,8,0,0,1,1,0,0,0,0,2,1,33,0,0,1,0,0,0,0,7,5,35,8,4,16
OTU_524,128,OTU_524,,,,,,,,,,,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_525,127,Oidiodendron pilicola 18S ribosomal RNA ,Leotiomycetes,Incertae sedis,Symbiotroph/Ericoid,Symbiotroph,Ericoid,,AF062787.1,99.2,257,0,0,0,0,21,0,0,0,5,4,11,21,57,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
OTU_526,127,Niaceae sp. MD-2017a voucher TL2015-7248,,,,,,,KX772746.1,96.5,396,0,0,30,0,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,3,2,0,0,0,0,0,0
OTU_527,126,Discosia sp. WJL-2015b voucher MFLU:14-0,Sordariomycetes,Xylariales,Biotroph/Plant pathogen/white rot,Biotroph,Plant pathogen,White rot,KM678042.1,99.7,315,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,121,2,0,0,0,0,0,0,0,0,0,0
OTU_528,126,OTU_528,,,,,,,,,,,4,3,52,54,0,0,0,0,0,0,0,0,0,0,0,4,0,6,1,2,0,0,0,0,0,0,0,0,0
OTU_529,126,Trichocladium opacum isolate 185J14 18S ,Sordariomycetes,Sordariales,Saprotroph,Saprotroph,Saprotroph,,KU516597.1,100,289,0,0,0,0,2,0,0,2,6,0,3,26,29,0,0,0,9,0,36,0,1,5,1,1,0,0,0,0,3,2
OTU_530,125,Retiarius sp. ZM-2017a internal transcri,Incertae sedis,Incertae sedis,Unknown Function,Unknown Function,Unknown Function,,KY352465.1,92.4,238,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,121,0,0,0,1,0,0,0,0,0,0,0
OTU_531,125,Plectania zugazae MA Fungi 53068 ITS reg,Pezizomycetes,Pezizales,Saprotroph,Saprotroph,Saprotroph,,NR_120217.1,93.4,228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,94,0
OTU_532,125,Cyphellophora sp. strain P2927 internal ,Eurotiomycetes,Chaetothyriales,Saprotroph,Saprotroph,Saprotroph,,KT270124.1,100,290,0,3,2,3,3,9,5,0,2,0,3,0,3,2,1,0,51,16,21,0,0,0,0,1,0,0,0,0,0,0
OTU_533,125,Ciboria asphodeli strain F142282 18S rib,Leotiomycetes,Helotiales,Biotroph/Plant pathogen,Biotroph,Plant pathogen,,KJ941085.1,93.4,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,52,42,8,15,6
OTU_534,125,OTU_534,,,,,,,,,,,2,0,7,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,14,35,9,1,4,48
OTU_535,124,Amphinema byssoides isolate PS13 small s,Agaricomycetes,Atheliales,Symbiotroph/Ectomycorrhizal,Symbiotroph,Ectomycorrhizal,,KT182915.1,97.3,297,0,0,0,0,0,2,38,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
